,Age,Income,Children,Outage_sec_perweek_avg,Contacts,Yearly_equip_failure,Tenure_months,MonthlyCharge_avg,Bandwidth_GB_Year_avg,Churn_numeric,Port_modem_numeric,Tablet_numeric,MultipleLines_numeric,OnlineSecurity_numeric,OnlineBackup_numeric,DeviceProtection_numeric,TechSupport_numeric,StreamingMovies_numeric,Area_Suburban,Area_Urban,Gender_Male,Gender_Nonbinary,ContractType_One year,ContractType_Two Year,InternetServiceType_Fiber Optic,InternetServiceType_None
18,61,39262.14,3,9.57470568,1,0,17.10995632,152.490739,1833.0967,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
19,23,19494.75,3,10.92246098,1,0,12.80615845,149.944668,1954.080809,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
20,38,39624.21,4,12.06889188,0,3,20.45390977,184.978458,2330.319383,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0
21,30,45714.47,3,6.984819996,1,0,2.415991977,127.495766,594.1054279,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0
22,52,27442.03,3,9.372975594,1,1,6.652298992,124.964303,713.0633088,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
23,68,79699.62,2,7.109002592,0,0,8.543717478,149.948316,945.3802928,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0
24,75,28520.32,3,13.74777955,1,0,5.770390256,162.511928,870.76398,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1
25,77,12558.83,1,9.767668044,1,0,4.157658837,92.455141,774.2937069,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
26,47,8762.23,1,15.8626095,0,1,10.40566091,222.649979,1506.446527,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
27,70,43882.72,0,14.73616645,0,0,1.392421597,139.981577,419.0508708,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
28,20,10482.52,3,13.43558029,2,0,1.430386349,200.132293,1259.415493,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
29,69,33442.79,4,10.61771118,1,0,5.425864884,257.651257,1745.125956,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0
30,45,43383.54,9,6.613070806,0,0,11.08287797,230.105118,1795.465729,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0
31,40,21793.88,0,4.450171647,2,0,3.586184954,147.489301,492.4771472,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1
32,82,51960.51,6,8.774646693,0,0,4.727388465,230.105118,1013.993166,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
33,74,25942.1,5,11.13156721,1,1,20.89923386,174.958118,2680.762173,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
34,69,11211.59,4,5.540788887,1,0,3.471329958,267.664655,1081.814362,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0
35,52,8283.29,1,13.80362698,0,1,5.478588204,162.483267,1209.961168,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0
36,26,10114.81,2,16.31017089,1,1,3.312991809,229.993134,897.5919144,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0
37,25,36229.21,1,9.447065309,2,0,7.161561527,140.00128,1340.930156,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0
38,66,25397.44,1,16.84100845,1,0,9.847563364,184.964681,1113.993679,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0
39,72,50336.5,1,7.972937227,1,1,16.04202196,147.473844,1530.10769,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0
40,21,38211.37,3,11.42906608,1,0,9.179779682,172.457857,1310.137419,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
41,55,52887.26,3,8.06137096,2,0,3.002844144,107.481989,892.8964931,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
42,41,12003.33,4,12.54780492,1,2,3.924254455,255.141716,1125.581944,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0
43,32,24090.62,4,8.255565152,0,0,18.55959629,192.456745,2016.710031,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0
44,22,15137.93,0,13.156514,0,0,8.798394712,242.632554,1412.736809,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0
45,44,54458.38,2,10.58349704,1,0,10.377366,245.174977,1710.689671,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1
46,23,132116.33,2,12.50184778,1,0,22.25746016,184.964681,2384.885909,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0
47,43,37358.13,3,9.750038902,1,0,9.427146079,195.006206,1213.940165,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0
48,86,26534.16,1,7.868660851,2,2,7.760290062,104.962874,740.010722,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
49,84,76430.83,2,12.43563329,0,1,11.56938439,92.488023,897.9716153,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
50,62,4662.37,2,8.957166926,3,0,3.343811019,184.979684,1026.387172,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
51,68,43820.85,5,8.015021713,1,0,7.338869531,187.656013,1234.244324,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
52,59,38391.55,1,4.210347704,0,0,5.486534225,149.962093,727.3731845,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
53,31,44137.6,0,11.13960534,0,0,1.55278221,169.944668,452.8721504,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
54,51,14364.65,0,9.03738856,2,0,12.07970325,160.00128,1296.674543,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0
55,58,62359.91,1,10.91594785,1,1,13.98666226,129.962093,1840.628269,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
56,73,82634.86,1,8.387624096,0,1,9.563362997,114.950905,1324.330108,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
57,33,15690.25,1,11.4487514,0,1,6.732948946,142.515576,958.1397059,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1
58,58,14568.7,1,10.22013704,2,0,15.72071086,220.14775,1868.864027,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1
59,49,29207.46,0,8.425458142,1,0,7.233605493,124.97808,676.712908,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
60,26,55319.23,1,8.386280619,1,0,2.871017037,164.964681,1086.990308,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0
61,25,81831.49,1,9.565924291,3,0,2.344875382,194.976769,704.7540406,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0
62,42,100076.65,0,10.79349982,3,0,7.960490246,152.455519,1416.444695,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
63,81,69965.65,1,6.081975067,0,0,12.25062113,92.5018,1095.950634,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
64,43,34883.69,1,13.55065547,0,0,9.634946079,127.488728,1083.610268,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1
65,63,45634.2,2,9.470419821,1,0,7.916533093,184.963371,1570.641337,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0
66,70,10964.73,3,6.194985909,0,1,4.471254161,265.146969,1007.425553,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0
67,78,22365.28,1,10.80393657,1,0,10.79028074,207.609354,1323.028419,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
68,48,52636.6,0,7.903964267,0,1,12.24190682,152.462354,1808.730555,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
69,63,19048.13,1,11.27443693,2,1,2.203859443,200.132293,1120.241472,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
70,60,42784.82,4,6.129509309,0,0,23.92132231,212.655686,2676.789803,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1
71,87,77996.88,0,7.969277912,0,0,3.7311787,255.119794,1268.086909,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0
72,54,47507.3,3,4.368120492,0,0,7.980015371,134.950905,822.6771666,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
73,35,7724.73,3,6.258356398,0,1,9.190009376,255.137219,1577.915603,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0
74,70,1509.52,1,12.92303286,0,0,2.378630018,214.966286,648.7471776,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0
75,67,81124.71,2,12.43301273,0,0,5.43464555,270.160419,1648.102673,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0
76,46,11795.57,4,7.607663559,0,0,1.092361222,200.165175,768.0874545,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1
77,50,74794.84,1,7.442789019,2,1,20.13981517,149.937833,2426.030626,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0
78,24,19038.78,1,13.04429298,1,0,24.64873861,240.114868,2660.503932,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
79,20,79167.77,0,14.89762162,0,0,9.677739656,127.495766,1129.549713,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
80,29,37428.26,1,13.79387475,2,1,9.82814183,187.609354,1771.286466,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
81,31,45148.38,0,15.66367593,1,0,7.832238337,169.992756,943.3391244,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
82,72,74855.47,5,8.513410306,3,0,19.45250317,192.456745,1907.226083,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0
83,71,45323.86,4,8.265002035,1,0,14.34766616,120.004928,1885.939118,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0
84,32,71596.14,2,8.6026551,0,0,2.257358355,195.006206,631.7435653,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0
85,33,10389.95,0,6.03993035,1,0,2.358129018,139.95684,562.6095219,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
86,67,19657.14,3,14.6040829,3,0,4.650578623,114.983787,593.8572264,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
87,66,27827.03,0,7.274007029,1,1,3.721772616,207.638588,777.3060718,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
88,21,15609.05,4,8.913898759,4,0,3.76663012,187.609354,1393.202392,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
89,61,19815.63,0,11.59313893,0,2,4.151256695,134.950905,393.6524652,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
90,75,58482.9,0,8.294186076,0,0,2.188918771,192.470522,409.7486664,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
91,63,41656.53,0,15.19664016,1,0,13.85488928,222.628057,2138.107161,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0
92,68,115510.46,0,5.083995994,1,0,3.273341151,162.468917,443.984031,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0
93,32,15841.19,2,6.942719201,1,1,19.75096265,159.979358,2481.385603,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
94,76,81127.41,0,9.834012571,1,0,18.38404445,184.979684,2233.567181,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0
95,29,24270.88,0,11.0596826,0,0,4.672610857,245.145743,1158.91369,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0
96,83,54466.33,0,8.834079073,0,1,6.796299371,124.97808,529.40733,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
97,23,64816.84,10,5.271228601,1,1,12.97632235,187.484705,1956.7337,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0
98,80,103311.26,5,9.394961367,1,0,20.31163945,162.500692,2056.386979,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0
99,20,40211.04,0,14.4754365,1,1,6.998814446,182.467607,1067.373076,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0
100,69,58077.38,0,10.68311773,1,1,14.46288204,222.660939,1806.135733,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1
101,32,43466.35,1,13.79409442,1,0,11.13472066,182.467607,1397.701335,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0
102,53,23289.77,0,12.40165307,1,0,2.542296644,220.161527,808.4305471,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1
103,25,49158.49,2,10.24782033,1,0,17.22596021,169.937833,1886.531937,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
104,69,3805.84,0,14.86100819,0,2,22.79214163,204.963371,2294.781131,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0
105,71,52616.27,3,6.716953195,2,1,3.823689744,204.963371,826.3438621,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0
106,53,30550.42,3,8.124258176,1,0,10.77094687,245.128318,2072.564168,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0
107,56,12154.01,2,14.60903837,0,2,13.08671185,172.473314,1436.793746,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
108,42,30649.31,0,12.65015936,2,2,14.76468813,172.456745,1963.332683,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0
109,33,31417.33,3,12.0281501,0,0,9.473091121,194.976769,1324.164906,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0
110,47,55861.19,1,15.68043093,1,0,5.197446331,137.439154,704.9375603,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
111,48,9044.26,1,11.30421466,3,1,6.577552683,192.470522,888.6517305,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0
112,63,25381.66,0,10.26646787,1,0,3.174571918,159.951231,377.0810282,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
113,40,65064.31,1,7.56618217,0,0,17.88002366,112.455141,1606.489936,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
114,67,12527.51,0,10.40677369,2,0,13.12190056,174.961766,1431.409396,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0
115,56,35499.06,0,7.146124361,3,0,23.34617699,162.452604,2253.85247,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
116,24,26282.4,6,9.807530479,1,0,6.311709178,137.483594,1353.29384,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
117,79,51237.28,2,10.61217014,3,0,12.58298231,275.133571,1701.457566,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0
118,61,64222.21,3,5.785085772,1,1,7.120096363,127.442069,1290.737183,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
119,38,11014.98,0,9.062879297,2,0,9.344886869,210.138,1403.270091,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1
120,28,21172.49,4,16.54443477,1,0,22.37815032,147.456419,2603.903672,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
121,44,26130.78,3,4.539566699,2,0,4.799514433,242.657291,1256.287854,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1
122,65,36478.21,1,7.251198724,2,0,10.04672315,114.983787,980.9935923,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1
123,35,54533.63,3,8.943293567,2,1,8.156552837,187.656013,1347.869205,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
124,31,37103.18,2,12.57884215,3,1,7.992791229,149.991327,1127.267848,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
125,34,74679.84,2,11.64836306,0,1,7.231032028,124.960655,1269.836202,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
126,68,95028.57,2,6.076260652,0,0,4.627672042,220.161527,1038.745378,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1
127,62,34281.1,0,11.75681641,0,0,10.05306287,172.48852,1531.155367,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0
128,52,36240.81,0,9.173739977,0,1,4.171044392,120.004928,991.2441024,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0
129,32,9515.64,5,8.353693631,4,0,4.568682641,220.161527,1244.296865,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1
130,47,125814.88,0,10.74539526,0,1,6.085030507,139.965008,1162.332926,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
131,66,12995.68,8,11.36323648,1,1,2.730250735,159.951231,577.1157824,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
132,70,77531.43,1,2.310584634,1,0,8.574901206,184.949594,1442.974877,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
133,41,87354.99,3,5.290318715,0,0,9.743201772,252.637807,1577.208717,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0
134,59,76567.85,2,5.258274954,1,0,9.482919033,112.455141,886.9398744,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
135,46,30663.52,1,7.157580014,0,0,8.447988841,179.979358,1065.06443,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0
136,70,122957.19,3,2.120350511,0,0,6.365998533,202.443347,951.886985,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
137,89,31600.92,1,4.978546291,2,0,7.251397592,197.472533,1404.435534,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0
138,75,74638.78,4,6.547676875,3,1,14.64011644,255.155493,1925.911722,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0
139,26,32652.3,0,7.410590719,0,1,11.71637124,174.976769,1805.011298,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
140,25,63650.54,4,11.39765385,1,1,4.13273503,169.992756,700.7343179,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
141,84,28622.6,1,11.29945603,1,0,2.887429547,192.440432,513.237305,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
142,69,50252.79,3,11.30748265,0,2,3.303030246,182.460772,717.3876564,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0
143,31,19800.81,3,10.31551212,2,1,5.15825129,139.965008,1313.492851,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0
144,76,35954.77,10,13.71555406,1,0,3.237560234,137.461553,819.4195269,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
145,75,36342.31,8,15.40917963,2,0,2.733109234,217.472533,882.1160656,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0
146,74,48715.53,1,11.9664542,1,0,3.180102025,210.138,724.7803356,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1
147,49,23204.98,1,10.18046877,2,0,15.85983755,104.964303,1829.270014,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
148,47,35302.52,1,14.01485542,1,1,11.73724209,262.610632,1668.199119,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
149,20,54895.16,4,14.62784306,2,0,7.006240694,152.488401,1124.353152,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1
150,26,60398.06,2,10.90517581,2,0,5.562130367,174.974431,1316.239744,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0
151,72,8115.88,2,8.894475174,0,1,14.53027663,220.118516,1637.201426,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0
152,41,33858.66,1,10.50187888,0,0,5.905906389,162.452604,951.8524406,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0
153,26,29950.47,3,12.34250072,2,1,3.260462654,184.961033,1248.097652,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
154,55,49421.69,4,10.29380879,3,0,18.91276578,217.483972,2220.255405,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0
155,46,11061.05,1,8.512650562,2,1,14.25617986,220.118516,1669.202417,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0
156,87,15388.32,0,7.82671592,1,2,7.983887266,187.642236,990.0555076,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1
157,39,20624.31,1,6.985590245,2,1,5.969967132,174.961766,967.9819136,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0
158,81,47877.81,0,11.40449185,0,0,19.95277818,252.637807,2190.259876,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0
159,83,46154.17,0,10.44249511,1,0,14.85781115,130.024412,1445.752781,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1
160,50,107111.8,0,15.38627887,2,0,2.600063739,162.482694,528.6553088,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0
161,87,10403.59,3,10.68024546,2,1,11.92299244,182.467607,1296.481055,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
162,76,22412.6,3,10.62439366,0,0,5.972864167,139.934918,1195.393037,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
163,25,19476.27,6,10.91642397,1,0,10.87555535,200.165175,1700.121992,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1
164,34,96382.76,3,8.580626195,0,0,16.00330155,202.682861,2120.673828,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1
165,46,28022.56,1,8.996933306,0,1,12.63074989,159.951231,1238.421347,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0
166,73,35478.4,1,7.602570192,2,0,8.4944392,149.948316,847.110799,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
167,57,10155.51,8,9.217689334,1,1,8.044444101,149.959755,1112.937102,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
168,58,87537.25,3,9.591529444,0,1,12.07358377,137.469817,1623.045026,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0
169,70,34112.1,4,13.36027908,0,0,10.21634248,187.656013,1479.730181,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1
170,53,32653.51,0,4.372034777,1,0,15.50354683,164.985293,2144.735024,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0
171,31,35321.46,0,10.59285179,0,3,13.88004531,159.965008,1522.289512,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0
172,38,49277.48,0,12.81260566,1,0,19.48900163,172.462354,1974.780054,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
173,26,37297.82,0,3.767298987,0,0,10.01771765,204.949594,1261.177198,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
174,44,14928.96,2,17.56798903,2,0,7.34059599,147.473844,939.7181324,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0
175,66,24702.68,3,11.2369761,3,2,12.64742067,162.471255,1357.062854,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
176,58,87535.71,1,8.54892416,0,1,8.850426839,119.95684,1456.887443,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
177,51,63166.87,6,6.094109902,2,0,3.701557118,207.609354,937.5863866,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
178,34,11856.81,4,13.9077275,1,0,2.976033785,194.999168,830.1193011,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1
179,87,27326.79,0,7.905333122,1,0,5.522376826,174.975543,737.8564608,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0
180,67,12779.23,1,12.53830949,2,1,15.64596698,240.114868,1781.854862,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
181,59,25519.91,4,12.8219418,1,1,23.00764441,240.114868,2464.577489,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0
182,23,46871.21,7,8.941553742,0,0,17.24924155,139.983006,2392.203409,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0
183,42,77383.72,0,10.51043963,0,0,13.01107597,240.114868,1664.19271,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0
184,24,47395.3,1,11.86384439,3,0,5.104082209,209.993134,1433.616898,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0
185,81,90977.74,2,10.76051016,3,0,3.521499924,147.456419,823.4933243,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0
186,78,135727.71,8,11.05420024,0,0,8.08137067,107.495766,1468.357421,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
